Event Name,Event Time,Status,External Url
Pizz AI kväll ,"Jan 15, 2025 05:00 PM - Jan 15, 2025 08:00 PM",APPROVED,
Webbinarium: Belysning för hållbar utveckling för människor och natur,"May 17, 2021 11:00 AM - May 17, 2021 12:30 PM",APPROVED,https://simplesignup.se/private_event/179850/706c4a2f6e
Pizz AI kväll - 19/2 ,"Feb 19, 2025 05:00 PM - Feb 19, 2025 08:00 PM",APPROVED,https://teams.microsoft.com/l/meetup-join/19%3ameeting_NGE2ZTQ4ZDItZThlYy00ZjRlLTg5YmUtMGIxNjZhYmVhNzcw%40thread.v2/0?context=%7b%22Tid%22%3a%227019ba12-fa37-46c3-b603-6854f68d62c9%22%2c%22Oid%22%3a%2231d38819-585c-4bb5-8ce6-6477acacf3af%22%7d
GPT-5 Release Reactions - Live with Sibbe and Morad,"Aug 07, 2025 04:50 PM - Aug 07, 2025 06:00 PM",APPROVED,
Fristads Cyclocross Weekend 2024,"Oct 12, 2024 06:00 AM - Oct 13, 2024 03:00 PM",APPROVED,
Kostnadsfritt webbinarium - Regler och lagar för offentlig upphandling!,"May 03, 2022 10:00 AM - May 03, 2022 10:30 AM",APPROVED,
Contract Management in Procurement & Finance,"Oct 21, 2025 10:00 AM - Oct 21, 2025 11:00 AM",APPROVED,https://events.teams.microsoft.com/event/b35ae854-d692-43f3-a11f-f46efeeac3ef@2abc9c3c-8a6f-4bce-8213-02b8dd61d3bb/registration
Lunchwebbinarium: Upphandla den effekt du vill ha!,"Feb 17, 2021 10:30 AM - Feb 17, 2021 11:00 AM",APPROVED,https://www.upphandlingsmyndigheten.se/kalendarium/lunchwebbinarium-upphandla-den-effekt-du-vill-ha/
Så kan den offentliga upphandlingen bli mer hållbar,"Jan 25, 2022 08:00 AM - Jan 25, 2022 09:00 AM",APPROVED,https://www.youtube.com/watch?v=FHt7fF6k9zA
Marketing Automation Day (Free admission),"Nov 23, 2021 07:30 AM - Nov 23, 2021 11:00 AM",APPROVED,https://marketingautomationday.wednesdayrelations.org/?_ga=2.266949894.945848506.1633941564-880195659.1633448141
Hur använder du ChatGPT Agent - Live med Sibbe,"Jul 27, 2025 07:00 PM - Jul 27, 2025 08:00 PM",APPROVED,
ChatGPT för HR,"Apr 04, 2024 10:00 AM - Apr 04, 2024 11:00 AM",APPROVED,
DigiGrow 2.0 Informationswebinar för nyfikna kommuner ,"Dec 08, 2020 08:00 AM - Dec 08, 2020 10:45 AM",APPROVED,
Digital underhållning med Fredrik Lindström 20 maj,"May 20, 2021 02:00 PM - May 20, 2021 03:00 PM",APPROVED,https://www.info.poolia.se/fredriklindstrom-20-maj-2021
