Login Date,IP Address,User Agent,Login Type
Mon Oct 23 14:27:03 UTC 2023,2a09:bac3:52f0:505:0:0:80:fe,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Safari/605.1.15",Login
Sun Nov 05 14:37:05 UTC 2023,89.160.68.161,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Login
Fri Dec 08 11:34:16 UTC 2023,2a09:bac3:52f6:2a0:0:0:43:4f,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.2 Safari/605.1.15",Login
Fri Dec 08 11:37:40 UTC 2023,78.70.233.32,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Login
Wed Dec 27 12:27:55 UTC 2023,89.160.68.161,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Login
Wed Dec 27 17:33:30 UTC 2023,2a09:bac2:52f4:28c:0:0:41:66,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2.1 Safari/605.1.15",Login
Thu Jan 11 05:37:30 UTC 2024,78.70.224.38,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Safari/605.1.15",Login
Thu Jan 25 15:24:35 UTC 2024,78.70.233.32,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6.1 Safari/605.1.15",Login
Thu Jan 25 15:30:13 UTC 2024,78.70.233.32,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6.1 Safari/605.1.15",Login
Wed Jan 31 22:21:20 UTC 2024,78.70.233.32,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Login
Sun Feb 04 10:49:22 UTC 2024,78.70.233.32,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21C66 [FBAN/FBIOS;FBAV/448.1.0.39.110;FBBV/559583292;FBDV/iPhone14,4;FBMD/iPhone;FBSN/iOS;FBSV/17.2.1;FBSS/3;FBID/phone;FBLC/sv_SE;FBOP/5;FBRV/562876731]",Login
Mon Feb 12 12:09:12 UTC 2024,2001:2042:fc23:3600:c5ef:72dc:cf28:9f7d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0@linkedin/windows-native-app/edge-webview2",Login
Mon Feb 12 16:56:34 UTC 2024,2001:2042:fc23:3600:2ce6:e813:7249:66a5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6.1 Safari/605.1.15",Login
Tue Feb 20 12:00:02 UTC 2024,2a09:bac2:517e:28c:0:0:41:65,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Safari/605.1.15",Login
Tue Feb 20 12:00:12 UTC 2024,2a09:bac2:517e:28c:0:0:41:65,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Safari/605.1.15",Login
Wed Feb 21 10:08:01 UTC 2024,78.70.231.65,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Safari/605.1.15",Login
Thu Feb 29 12:24:46 UTC 2024,2a09:bac2:517e:28c:0:0:41:4c,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Safari/605.1.15",Login
Thu Feb 29 19:46:37 UTC 2024,2a09:bac2:5178:28c:0:0:41:7d,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Safari/605.1.15",Login
Thu Feb 29 19:46:45 UTC 2024,2a09:bac2:5178:28c:0:0:41:7d,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Safari/605.1.15",Login
Thu Feb 29 22:21:05 UTC 2024,2a09:bac2:5178:28c:0:0:41:7d,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Safari/605.1.15",Login
