event_id,event_name,place,bib,name,uci_id,club,country,time,laps,category,event_country,event_date
17204,Pas Normal Studios - Cyclocross race,1,5,Idriss HamdiCCCC,,CCCC,BEL,46:44,15,,DEN,2026-03-01
17204,Pas Normal Studios - Cyclocross race,Klubb/FöretagGenomsnittligSnabbasteLångsammasteCCCC3:062:553:20,CCCC,3:06,,2:55,3:20,,,,DEN,2026-03-01
17204,Pas Normal Studios - Cyclocross race,CCCC,3:06,2:55,,3:20,,,,,DEN,2026-03-01
17204,Pas Normal Studios - Cyclocross race,2,8,Jens Christian DichDBC Ballerup,,DBC Ballerup,DEN,45:19,14,,DEN,2026-03-01
17204,Pas Normal Studios - Cyclocross race,Klubb/FöretagGenomsnittligSnabbasteLångsammasteDBC Ballerup3:143:003:23,DBC Ballerup,3:14,,3:00,3:23,,,,DEN,2026-03-01
17204,Pas Normal Studios - Cyclocross race,DBC Ballerup,3:14,3:00,,3:23,,,,,DEN,2026-03-01
17204,Pas Normal Studios - Cyclocross race,3,11,Mihaly BakiNBCK,,NBCK,HUN,46:12,13,,DEN,2026-03-01
17204,Pas Normal Studios - Cyclocross race,Klubb/FöretagGenomsnittligSnabbasteLångsammasteNBCK3:333:133:51,NBCK,3:33,,3:13,3:51,,,,DEN,2026-03-01
17204,Pas Normal Studios - Cyclocross race,NBCK,3:33,3:13,,3:51,,,,,DEN,2026-03-01
17204,Pas Normal Studios - Cyclocross race,4,3,Claus AnkjærgaardNørrebro Cykleklub,,Nørrebro Cykleklub,DEN,47:17,13,,DEN,2026-03-01
17204,Pas Normal Studios - Cyclocross race,Klubb/FöretagGenomsnittligSnabbasteLångsammasteNørrebro Cykleklub3:383:263:44,Nørrebro Cykleklub,3:38,,3:26,3:44,,,,DEN,2026-03-01
17204,Pas Normal Studios - Cyclocross race,Nørrebro Cykleklub,3:38,3:26,,3:44,,,,,DEN,2026-03-01
17204,Pas Normal Studios - Cyclocross race,5,14,Nicoline NicolajsenICC Copenhagen,,ICC Copenhagen,DEN,46:58,12,,DEN,2026-03-01
17204,Pas Normal Studios - Cyclocross race,Klubb/FöretagGenomsnittligSnabbasteLångsammasteICC Copenhagen3:543:474:03,ICC Copenhagen,3:54,,3:47,4:03,,,,DEN,2026-03-01
17204,Pas Normal Studios - Cyclocross race,ICC Copenhagen,3:54,3:47,,4:03,,,,,DEN,2026-03-01
17204,Pas Normal Studios - Cyclocross race,6,7,Pernille Koch,,,DEN,45:22,11,,DEN,2026-03-01
17204,Pas Normal Studios - Cyclocross race,Klubb/FöretagGenomsnittligSnabbasteLångsammaste-4:074:004:35,-,4:07,,4:00,4:35,,,,DEN,2026-03-01
17204,Pas Normal Studios - Cyclocross race,-,4:07,4:00,,4:35,,,,,DEN,2026-03-01
17204,Pas Normal Studios - Cyclocross race,7,4,isidore De souza,,,FRA,47:09,11,,DEN,2026-03-01
17204,Pas Normal Studios - Cyclocross race,Klubb/FöretagGenomsnittligSnabbasteLångsammaste-4:173:514:58,-,4:17,,3:51,4:58,,,,DEN,2026-03-01
17204,Pas Normal Studios - Cyclocross race,-,4:17,3:51,,4:58,,,,,DEN,2026-03-01
17204,Pas Normal Studios - Cyclocross race,8,16,Alicia RegodonUNCity,,UNCity,DEN,47:46,10,,DEN,2026-03-01
17204,Pas Normal Studios - Cyclocross race,Klubb/FöretagGenomsnittligSnabbasteLångsammasteUNCity4:464:344:57,UNCity,4:46,,4:34,4:57,,,,DEN,2026-03-01
17204,Pas Normal Studios - Cyclocross race,UNCity,4:46,4:34,,4:57,,,,,DEN,2026-03-01
17204,Pas Normal Studios - Cyclocross race,9,15,Cecilie BjerrumICC Copenhagen,,ICC Copenhagen,DEN,48:32,10,,DEN,2026-03-01
17204,Pas Normal Studios - Cyclocross race,Klubb/FöretagGenomsnittligSnabbasteLångsammasteICC Copenhagen4:514:325:54,ICC Copenhagen,4:51,,4:32,5:54,,,,DEN,2026-03-01
17204,Pas Normal Studios - Cyclocross race,ICC Copenhagen,4:51,4:32,,5:54,,,,,DEN,2026-03-01
17204,Pas Normal Studios - Cyclocross race,10,12,Sandro Daniele,,,ITA,,9,,DEN,2026-03-01
17204,Pas Normal Studios - Cyclocross race,Klubb/FöretagGenomsnittligSnabbasteLångsammaste-3:573:484:17,-,3:57,,3:48,4:17,,,,DEN,2026-03-01
17204,Pas Normal Studios - Cyclocross race,-,3:57,3:48,,4:17,,,,,DEN,2026-03-01
17204,Pas Normal Studios - Cyclocross race,11,17,Jonas BayhICC Copenhagen,,ICC Copenhagen,DEN,,3,,DEN,2026-03-01
17204,Pas Normal Studios - Cyclocross race,Klubb/FöretagGenomsnittligSnabbasteLångsammasteICC Copenhagen3:363:263:48,ICC Copenhagen,3:36,,3:26,3:48,,,,DEN,2026-03-01
17204,Pas Normal Studios - Cyclocross race,ICC Copenhagen,3:36,3:26,,3:48,,,,,DEN,2026-03-01
17539,Challenge Cross-Cup VI - Vejen BC,1,324,Thorleif Tejlmand RasmussenHolte MTB Klub,10141207126,,DEN,37:38,,,DEN,2026-01-18
17539,Challenge Cross-Cup VI - Vejen BC,KlubSnitBedsteVærstePointHolte MTB Klub7:177:087:4020,Holte MTB Klub,7:17,7:08,Holte MTB Klub,,,,,DEN,2026-01-18
17539,Challenge Cross-Cup VI - Vejen BC,Holte MTB Klub,7:17,7:08,7:40,,,,,,DEN,2026-01-18
17539,Challenge Cross-Cup VI - Vejen BC,2,338,Oscar Munkholm He AndersenGreve Cykle Club,10156792501,,DEN,39:11,,,DEN,2026-01-18
17539,Challenge Cross-Cup VI - Vejen BC,KlubSnitBedsteVærstePointGreve Cykle Club9:299:059:4918,Greve Cykle Club,9:29,9:05,Greve Cykle Club,,,,,DEN,2026-01-18
17539,Challenge Cross-Cup VI - Vejen BC,Greve Cykle Club,9:29,9:05,9:49,,,,,,DEN,2026-01-18
17539,Challenge Cross-Cup VI - Vejen BC,3,301,Malthe Akkerman SchacksenHammel Cykle Klub,10152083149,,DEN,40:46,,,DEN,2026-01-18
17539,Challenge Cross-Cup VI - Vejen BC,KlubSnitBedsteVærstePointHammel Cykle Klub9:539:1310:4716,Hammel Cykle Klub,9:53,9:13,Hammel Cykle Klub,,,,,DEN,2026-01-18
17539,Challenge Cross-Cup VI - Vejen BC,Hammel Cykle Klub,9:53,9:13,10:47,,,,,,DEN,2026-01-18
17539,Challenge Cross-Cup VI - Vejen BC,4,321,Valdemar Broeng NielsenEsbjerg Cykle Ring Sport af 1919,10169895278,,DEN,44:11,,,DEN,2026-01-18
