event_id,event_name,round_id,category,result_url,rider_url,name,bib,uci_id,club,country,place,place_numeric,status,time,laps,total_in_class,finished_in_class,dns_in_class,dnf_in_class,event_country,event_date,event_url
16839,SCF SM Cykelcross 2026 SWE CUP 7,,,https://www.sportstiming.dk/event/16839/results,https://www.sportstiming.dk/event/16839/results/7898994,David RisbergÖrebrocyklisterna,6,10022265019,Örebrocyklisterna,SWE,1,1.0,finished,1:00:51,7,39,26,0,0,SWE,2026-01-11,https://www.sportstiming.dk/event/16839/results
16839,SCF SM Cykelcross 2026 SWE CUP 7,,,https://www.sportstiming.dk/event/16839/results,https://www.sportstiming.dk/event/16839/results/7900581,Nils JOHANSSONIKHP Huskvarna,7,10022656049,IKHP Huskvarna,SWE,2,2.0,finished,1:03:33,7,39,26,0,0,SWE,2026-01-11,https://www.sportstiming.dk/event/16839/results
16839,SCF SM Cykelcross 2026 SWE CUP 7,,,https://www.sportstiming.dk/event/16839/results,https://www.sportstiming.dk/event/16839/results/7895419,Vilmer EkmanLucky Sport Cycling Club,9,10022659988,Lucky Sport Cycling Club,SWE,3,3.0,finished,1:06:51,7,39,26,0,0,SWE,2026-01-11,https://www.sportstiming.dk/event/16839/results
16839,SCF SM Cykelcross 2026 SWE CUP 7,,,https://www.sportstiming.dk/event/16839/results,https://www.sportstiming.dk/event/16839/results/7898745,Vilmar AASTRUPBauhaus Sportklubb,11,10022482156,Bauhaus Sportklubb,SWE,4,4.0,finished,1:08:04,7,39,26,0,0,SWE,2026-01-11,https://www.sportstiming.dk/event/16839/results
16839,SCF SM Cykelcross 2026 SWE CUP 7,,,https://www.sportstiming.dk/event/16839/results,https://www.sportstiming.dk/event/16839/results/7900795,Louis MONVILLECK Master,8,10132708310,CK Master,SWE,5,5.0,finished,1:08:15,7,39,26,0,0,SWE,2026-01-11,https://www.sportstiming.dk/event/16839/results
16839,SCF SM Cykelcross 2026 SWE CUP 7,,,https://www.sportstiming.dk/event/16839/results,https://www.sportstiming.dk/event/16839/results/7901843,Lukas MERKELCK Hymer,16,10075575916,CK Hymer,SWE,6,6.0,finished,1:08:18,7,39,26,0,0,SWE,2026-01-11,https://www.sportstiming.dk/event/16839/results
16839,SCF SM Cykelcross 2026 SWE CUP 7,,,https://www.sportstiming.dk/event/16839/results,https://www.sportstiming.dk/event/16839/results/7895877,Dexter KOCKLänna sport,13,10062276711,Länna sport,SWE,7,7.0,finished,1:02:07,6,39,26,0,0,SWE,2026-01-11,https://www.sportstiming.dk/event/16839/results
16839,SCF SM Cykelcross 2026 SWE CUP 7,,,https://www.sportstiming.dk/event/16839/results,https://www.sportstiming.dk/event/16839/results/7898899,David ErikssonIKHP Huskvarna,15,10060995095,IKHP Huskvarna,SWE,8,8.0,finished,1:02:47,6,39,26,0,0,SWE,2026-01-11,https://www.sportstiming.dk/event/16839/results
16839,SCF SM Cykelcross 2026 SWE CUP 7,,,https://www.sportstiming.dk/event/16839/results,https://www.sportstiming.dk/event/16839/results/7899721,Lucas MOLINFalu CK,10,10022621895,Falu CK,SWE,9,9.0,finished,1:05:33,6,39,26,0,0,SWE,2026-01-11,https://www.sportstiming.dk/event/16839/results
16839,SCF SM Cykelcross 2026 SWE CUP 7,,,https://www.sportstiming.dk/event/16839/results,https://www.sportstiming.dk/event/16839/results/7900190,Emil OskarssonCK Master,14,10060236879,CK Master,SWE,10,10.0,finished,1:08:41,6,39,26,0,0,SWE,2026-01-11,https://www.sportstiming.dk/event/16839/results
16839,SCF SM Cykelcross 2026 SWE CUP 7,,,https://www.sportstiming.dk/event/16839/results,https://www.sportstiming.dk/event/16839/results/7879620,Salvador RINCON AMATUpsala CK,18,10022365150,Upsala CK,SWE,11,11.0,finished,1:11:13,6,39,26,0,0,SWE,2026-01-11,https://www.sportstiming.dk/event/16839/results
16839,SCF SM Cykelcross 2026 SWE CUP 7,,,https://www.sportstiming.dk/event/16839/results,https://www.sportstiming.dk/event/16839/results/7884010,Albin DE KOSTERMalmö Cykelcross Klubb,12,10141019792,Malmö Cykelcross Klubb,SWE,12,12.0,finished,1:01:50,5,39,26,0,0,SWE,2026-01-11,https://www.sportstiming.dk/event/16839/results
16839,SCF SM Cykelcross 2026 SWE CUP 7,,,https://www.sportstiming.dk/event/16839/results,https://www.sportstiming.dk/event/16839/results/7900466,Patrick STRACKÄngby CC,17,10132615249,Ängby CC,SWE,13,13.0,finished,1:04:13,5,39,26,0,0,SWE,2026-01-11,https://www.sportstiming.dk/event/16839/results
16838,Malmö CX SWE-CUP #6,,,https://www.sportstiming.dk/event/16838/results,https://www.sportstiming.dk/event/16838/results/7819387,Axel LorentssonJönköpings CK,171,10120571182,Jönköpings CK,SWE,1,1.0,finished,18:55,5,24,16,0,0,SWE,2025-11-16,https://www.sportstiming.dk/event/16838/results
16838,Malmö CX SWE-CUP #6,,,https://www.sportstiming.dk/event/16838/results,https://www.sportstiming.dk/event/16838/results/7781927,Wilmer LarssonJönköpings CK,175,10107598141,Jönköpings CK,SWE,2,2.0,finished,19:52,5,24,16,0,0,SWE,2025-11-16,https://www.sportstiming.dk/event/16838/results
16838,Malmö CX SWE-CUP #6,,,https://www.sportstiming.dk/event/16838/results,https://www.sportstiming.dk/event/16838/results/7821930,Simon Härling BjörKvänums IF,174,10162473970,Kvänums IF,SWE,4,4.0,finished,21:27,5,24,16,0,0,SWE,2025-11-16,https://www.sportstiming.dk/event/16838/results
16838,Malmö CX SWE-CUP #6,,,https://www.sportstiming.dk/event/16838/results,https://www.sportstiming.dk/event/16838/results/7797423,Constantin CostesMalmö Cykelcross Klubb,172,10163899769,Malmö Cykelcross Klubb,SWE,6,6.0,finished,22:40,5,24,16,0,0,SWE,2025-11-16,https://www.sportstiming.dk/event/16838/results
16838,Malmö CX SWE-CUP #6,,,https://www.sportstiming.dk/event/16838/results,https://www.sportstiming.dk/event/16838/results/7821787,Petter HöhlerMalmö Cykelcross klubb,173,Engångslicens,Malmö Cykelcross klubb,SWE,8,8.0,finished,19:48,4,24,16,0,0,SWE,2025-11-16,https://www.sportstiming.dk/event/16838/results
16837,Malmö CX SWE-CUP #5,,,https://www.sportstiming.dk/event/16837/results,https://www.sportstiming.dk/event/16837/results/7819379,Axel LorentssonJönköpings CK,171,10120571182,Jönköpings CK,SWE,1,1.0,finished,20:01,4,16,10,1,0,SWE,2025-11-15,https://www.sportstiming.dk/event/16837/results
16837,Malmö CX SWE-CUP #5,,,https://www.sportstiming.dk/event/16837/results,https://www.sportstiming.dk/event/16837/results/7781926,Wilmer LarssonJönköpings CK,175,10107598141,Jönköpings CK,SWE,2,2.0,finished,20:46,4,16,10,1,0,SWE,2025-11-15,https://www.sportstiming.dk/event/16837/results
16837,Malmö CX SWE-CUP #5,,,https://www.sportstiming.dk/event/16837/results,https://www.sportstiming.dk/event/16837/results/7797410,Constantin CostesMalmö Cykelcross Klubb,172,10163899769,Malmö Cykelcross Klubb,SWE,3,3.0,finished,24:46,4,16,10,1,0,SWE,2025-11-15,https://www.sportstiming.dk/event/16837/results
